key,authors,year,title,venue,identifier,evidence_tier,relevance,documented_in,local_files,notes
xia2024,"Xia, Zhang",2024,A Neural Column Generation Approach to the Vehicle Routing Problem with Two-Dimensional Loading and Last-In-First-Out Constraints,,10.24963/ijcai.2024/218,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,neural column generation for VRP
xie2025,Dunjian Xie and Yan Xu,2025,Strategic bidding of price-maker energy storage systems in electricity markets with limited information,Applied Energy 390,10.1016/j.apenergy.2025.125824,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;ROUTE_AND_RESPONSE_LEARNING_20260814.md;EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,1-s2.0-S0306261925005549-main.pdf,closest precedent for learned price-quota strategic bidding
xu2024,"Xu, Q., Ricks, W., Manocha, A., Patankar, N., & Jenkins, J. D.",2024,System-level impacts of voluntary carbon-free electricity procurement strategies,Joule 8(2):374–400,"DOI: 10.1016/j.joule.2023.12.007; SSRN 10.2139/ssrn.4248431; Zenodo 10.5281/zenodo.6229426, 10.5281/zenodo.8325964",abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,
yao2020,"Yao, S. (et al.)",2020,Rolling Optimization of Mobile Energy Storage Fleets for Resilient Service Restoration,IEEE Transactions on Smart Grid,DOI: 10.1109/tsg.2019.2930012,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,canonical MESS reference
yao2025,"Yao, Liu, Scaglione, Bekhor, Zhang",2025,Integrated equilibrium model for electrified logistics and power systems,arXiv,arXiv:2505.04532,abstract-level,core-threat,READING_QUEUE.md;AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,gates chapter claims; coordinate internally before drafting
yetkin2024,"Yetkin, M., Augustino, B., Lamadrid, A.J. & Snyder, L.V.",2024,Co-optimizing the smart grid and electric public transit bus system,Optimization and Engineering,10.1007/s11081-023-09878-w,abstract-level,core-threat,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,main published dictator-with-fleet competitor
you2026,You et al.,2026,Two-Stage Learning to Branch in Branch-Price-and-Cut Algorithms for Solving Vehicle Routing Problems Exactly,,10.1287/opre.2023.0615,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md;READING_QUEUE.md,,priority PDF request; learning to branch
zero-marginal-cost-p2p2021,,2021,Pricing and Energy Trading in Peer-to-Peer Zero Marginal-Cost Microgrids,IEEE Transactions on Smart Grid,DOI: 10.1109/tsg.2021.3122879,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,marginal-price degeneracy warning; authors not captured
zhang2021,"Zhang, L., Wang, S., Qu, X.",2021,Optimal electric bus fleet scheduling considering battery degradation and non-linear charging profile,"Transportation Research Part E 154, art. 102445",10.1016/j.tre.2021.102445,abstract-level,domain-context,READING_QUEUE.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,degradation-aware labeling baseline; title not given
zhang2022,"Zhang, Zavala",2022,"Remunerating space-time, load-shifting flexibility from data centers in electricity markets",,10.1016/j.apenergy.2022.119187,abstract-level,domain-context,HANDOFF_PRICE_MAKER_20260814.md,,virtual-link analogy for duty-linked flexible demand
zhang2024,Zhang et al.,2024,On the role of time-of-use electricity price in charge scheduling for electric bus fleets,Computer-Aided Civil and Infrastructure Engineering,10.1111/mice.13134,abstract-level,domain-context,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md;READING_QUEUE.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,closest EVSP TOU branch-and-price baseline
zhou2024,"Zhou, Y., Wang, H., Wang, Y., Yu, B., Tang, T.",2024,Charging facility planning and scheduling problems for battery electric bus systems: A comprehensive review,"TRE 183, art. 103463",10.1016/j.tre.2024.103463,abstract-level,domain-context,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,charging facility planning/scheduling review; title not given
zhou2024a,"Zhou, Y., Meng, Q., Ong, G.P., Wang, H.",2024,Electric bus charging scheduling on a bus network,"TRC 161, art. 104553",DOI: 10.1016/j.trc.2024.104553,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
zhou2025,"Zhou, X., An, K., Schmöcker, J.-D.",2025,Optimization of charging and discharging schedules for battery electric buses under the V2G environment,Transportmetrica B: Transport Dynamics,DOI: 10.1080/21680566.2025.2506689,abstract-level,core-threat,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,closest heuristic transit competitor
ziras2021,"Ziras, Heinrich, Bindner",2021,Why baselines are not suited for local flexibility markets,,10.1016/j.rser.2020.110357,abstract-level,domain-context,HANDOFF_PRICE_MAKER_20260814.md;EXTERNAL_DEEP_DIVE_20260814.md,,motivates capacity-limit products over baselines
zoltowska2016,Izabela Zoltowska,2016,Demand shifting bids in energy auction with non-convexities and transmission constraints,Energy Economics 53,10.1016/j.eneco.2015.05.016,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md,1245125.pdf;S0140988315001681.html,kills minimum-uplift pricing for shiftable demand
zou2016,"Peng Zou, Qixin Chen, Qing Xia, Guannan He, Chongqing Kang, and Antonio J. Conejo",2016,Pool equilibria including strategic storage,Applied Energy 177,10.1016/j.apenergy.2016.05.105,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md,523523.pdf;S0306261916307097.html,kills strategic storage EPEC/MPEC equilibrium claim
